# DiscordGuard Scraped Raw Data
# ============================================================
# THIS FILE IS AUTO-GENERATED. DO NOT EDIT MANUALLY.
#
# Regenerate by running: python scripts/scraper.py
# Compile into JSON:     python scripts/compile-lists.py --target <profile>
# ============================================================
! BEGIN SCRAPED
! Scraped: 2026-03-07T08:22:27Z
! Source: disboard.org
! Tags scraped (hard-blocked): nsfw, adult, 18+, hentai, gore, explicit, porn, lewd, erotic, xxx, ai-girlfriend, ai-boyfriend, ai-companion, ai-roleplay, ai-chat, ai-waifu, virtual-girlfriend, virtual-companion, character-ai, replika, ai-romance, ai-dating, ai-relationship, companionship, ai-friend
! Tags scraped (teen-flagged): mature, suggestive, dating, relationship, artificial-intelligence, ai, chatgpt, claude, llm, generative-ai, ai-generated, ai-art, stable-diffusion, midjourney, ai-tools
! Total servers: 575
!
! SECTION hard-blocked
! Servers from hard-blocked tags — included in child-safe and family-safe lists
||server:1469280441268961342  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469311059465867377  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469314320289497281  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469345890270707776  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469374934336667661  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469379865437536338  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469384172874235916  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469421487114027202  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469421783341072498  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469427566854279280  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469439489033240707  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469448986040598540  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469449558139338847  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469457376221331598  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469489690523599050  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469491406216233076  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469508142403682415  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469510146748059662  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469513299258507287  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469677414585073767  ! name: unknown | tags: replika | source_tag: ai_companion
||server:1469799202715472126  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469820556160401514  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469827447154544694  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469832015409971210  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469844888014033023  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469850886414012607  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469860657376530474  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469862371924115498  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469866097967890516  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469875533386088532  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469895853463310369  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469913010507219138  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469913882821787817  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469934703338590374  ! name: unknown | tags: porn | source_tag: nsfw
||server:1470039655088128132  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1470040251362971849  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1470791094202663056  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1471169451205460070  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1471171304907346176  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1471763430078812333  ! name: unknown | tags: porn | source_tag: nsfw
||server:1471764304675078231  ! name: unknown | tags: porn | source_tag: nsfw
||server:1471766887992918049  ! name: unknown | tags: porn | source_tag: nsfw
||server:1471787032102699083  ! name: unknown | tags: porn | source_tag: nsfw
||server:1471804945304125543  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1471806962315558934  ! name: unknown | tags: nsfw | source_tag: nsfw
